ID,Scenario,alt,chosen,RC,OC,DR,CT,P1,P2,P1_V,P2_V,Freq_p_week,Dis_p_day,AT2,experience_months
R_2V1JuOHs3yzzfpE,R2.5r,1,1,1800,41,600,11,,,,,6,275,4,96
R_2V1JuOHs3yzzfpE,R2.5r,3,0,1900, ,400,16.5,0.9,0.1,17,25,6,275,4,96
R_1OCtfTSMmVkf6Ey,R1.5s,1,0,2100,32,550,9,,,,,7,175,4,156
R_1OCtfTSMmVkf6Ey,R1.5s,3,1,2500, ,350,14,0.9,0.1,9,13,7,175,4,156
R_1OCtfTSMmVkf6Ey,R1.5r,1,0,2100,32,550,9,,,,,7,175,4,156
R_1OCtfTSMmVkf6Ey,R1.5r,3,1,2500, ,350,14,0.9,0.1,7,15,7,175,4,156
R_3n7Mh73lWka72e8,R2.3s,1,1,2100,26,850,6.5,,,,,6,225,4,156
R_3n7Mh73lWka72e8,R2.3s,3,0,2200, ,600,9,0.5,0.5,11,15,6,225,4,156
R_3n7Mh73lWka72e8,R2.3r,1,1,2100,26,850,6.5,,,,,6,225,4,156
R_3n7Mh73lWka72e8,R2.3r,3,0,2200, ,600,9,0.5,0.5,9,17,6,225,4,156
R_1jji3KY2p2fQg0D,R1.1s,1,1,1500,38,600,7.5,,,,,5,225,2,54
R_1jji3KY2p2fQg0D,R1.1s,3,0,1650, ,350,13,0.1,0.9,12,16,5,225,2,54
R_1jji3KY2p2fQg0D,R1.1r,1,1,1500,38,600,7.5,,,,,5,225,2,54
R_1jji3KY2p2fQg0D,R1.1r,3,0,1650, ,350,13,0.1,0.9,10,18,5,225,2,54
R_DvgqC91PBaBRFvP,R2.4s,1,1,2100,22,800,5.5,,,,,6,175,4,156
R_DvgqC91PBaBRFvP,R2.4s,3,0,2200, ,550,7.5,0.7,0.3,9,13,6,175,4,156
R_DvgqC91PBaBRFvP,R2.4r,1,1,2100,22,800,5.5,,,,,6,175,4,156
R_DvgqC91PBaBRFvP,R2.4r,3,0,2200, ,550,7.5,0.7,0.3,7,15,6,175,4,156
R_3xFmkCwzpMQjY4N,R2.1s,1,1,1800,34,600,9,,,,,6,225,3,276
R_3xFmkCwzpMQjY4N,R2.1s,3,0,1900, ,400,13.5,0.1,0.9,15,19,6,225,3,276
R_3xFmkCwzpMQjY4N,R2.1r,1,1,1800,34,600,9,,,,,6,225,3,276
R_3xFmkCwzpMQjY4N,R2.1r,3,0,1900, ,400,13.5,0.1,0.9,13,21,6,225,3,276
R_3OS9o5LAwaDe6Qh,R2.3s,1,1,1800,26,850,6.5,,,,,6,225,4,156
R_3OS9o5LAwaDe6Qh,R2.3s,3,0,1900, ,600,9,0.5,0.5,11,15,6,225,4,156
R_3OS9o5LAwaDe6Qh,R2.3r,1,1,1800,26,850,6.5,,,,,6,225,4,156
R_3OS9o5LAwaDe6Qh,R2.3r,3,0,1900, ,600,9,0.5,0.5,9,17,6,225,4,156
R_2qEmjJ6gpiP6dEu,R2.2s,1,1,2400,39,600,11,,,,,6,275,3,219
R_2qEmjJ6gpiP6dEu,R2.2s,3,0,2500, ,400,16.5,0.3,0.7,18,22,6,275,3,219
R_2qEmjJ6gpiP6dEu,R2.2r,1,1,2400,39,600,11,,,,,6,275,3,219
R_2qEmjJ6gpiP6dEu,R2.2r,3,0,2500, ,400,16.5,0.3,0.7,16,24,6,275,3,219
R_AyvZSxoq2V7kE6Z,R1.2s,1,0,2100,45,550,10,,,,,6,225,4,54
R_AyvZSxoq2V7kE6Z,R1.2s,3,1,2300, ,350,15.5,0.3,0.7,12,16,6,225,4,54
R_AyvZSxoq2V7kE6Z,R1.2r,1,0,2100,45,550,10,,,,,6,225,4,54
R_AyvZSxoq2V7kE6Z,R1.2r,3,1,2300, ,350,15.5,0.3,0.7,10,18,6,225,4,54
R_cMuqDPJlgPjs6Nr,R2.5s,1,1,2100,55,550,14,,,,,7,275,4,54
R_cMuqDPJlgPjs6Nr,R2.5s,3,0,2200, ,400,19.5,0.9,0.1,26,30,7,275,4,54
R_cMuqDPJlgPjs6Nr,R2.5r,1,1,2100,55,550,14,,,,,7,275,4,54
R_cMuqDPJlgPjs6Nr,R2.5r,3,0,2200, ,400,19.5,0.9,0.1,24,32,7,275,4,54
R_2w6N4YMVKHYIuzo,R2.4s,1,1,2100,21,850,5,,,,,6,175,4,156
R_2w6N4YMVKHYIuzo,R2.4s,3,0,2200, ,600,7,0.7,0.3,9,13,6,175,4,156
R_2w6N4YMVKHYIuzo,R2.4r,1,1,2100,21,850,5,,,,,6,175,4,156
R_2w6N4YMVKHYIuzo,R2.4r,3,0,2200, ,600,7,0.7,0.3,7,15,6,175,4,156
R_qQusZeqivQmmr8R,R1.4s,1,1,2700,59,550,19,,,,,7,375,4,42
R_qQusZeqivQmmr8R,R1.4s,3,0,2950, ,350,30,0.7,0.3,21,25,7,375,4,42
R_qQusZeqivQmmr8R,R1.4r,1,1,2700,59,550,19,,,,,7,375,4,42
R_qQusZeqivQmmr8R,R1.4r,3,0,2950, ,350,30,0.7,0.3,19,27,7,375,4,42
R_1jAHWMZ3e4IrUTS,R2.5s,1,1,3000,38,600,10.5,,,,,7,225,4,300
R_1jAHWMZ3e4IrUTS,R2.5s,3,0,3150, ,400,16,0.9,0.1,17,21,7,225,4,300
R_1jAHWMZ3e4IrUTS,R2.5r,1,1,3000,38,600,10.5,,,,,7,225,4,300
R_1jAHWMZ3e4IrUTS,R2.5r,3,0,3150, ,400,16,0.9,0.1,15,23,7,225,4,300
R_1kUrkeP2G5SzhZ9,R2.1s,1,1,3000,45,550,10,,,,,6,225,3,276
R_1kUrkeP2G5SzhZ9,R2.1s,3,0,3150, ,400,13.5,0.1,0.9,21,25,6,225,3,276
R_1kUrkeP2G5SzhZ9,R2.1r,1,1,3000,45,550,10,,,,,6,225,3,276
R_1kUrkeP2G5SzhZ9,R2.1r,3,0,3150, ,400,13.5,0.1,0.9,19,27,6,225,3,276
R_2RUn59dh6y08veS,R2.4s,1,1,2100,28,800,5.5,,,,,5,225,4,156
R_2RUn59dh6y08veS,R2.4s,3,0,2200, ,550,8,0.7,0.3,12,16,5,225,4,156
R_2RUn59dh6y08veS,R2.4r,1,1,2100,28,800,5.5,,,,,5,225,4,156
R_2RUn59dh6y08veS,R2.4r,3,0,2200, ,550,8,0.7,0.3,10,18,5,225,4,156
R_3qdmq4qyfBjnYP7,R2.2s,1,1,1800,26,850,5.5,,,,,5,225,4,156
R_3qdmq4qyfBjnYP7,R2.2s,3,0,1900, ,600,7.5,0.3,0.7,11,15,5,225,4,156
R_3qdmq4qyfBjnYP7,R2.2r,1,1,1800,26,850,5.5,,,,,5,225,4,156
R_3qdmq4qyfBjnYP7,R2.2r,3,0,1900, ,600,7.5,0.3,0.7,9,17,5,225,4,156
R_A7o7ubPWgtwtumZ,R2.3s,1,1,3000,26,850,5.5,,,,,5,225,4,156
R_A7o7ubPWgtwtumZ,R2.3s,3,0,3150, ,600,7.5,0.5,0.5,11,15,5,225,4,156
R_A7o7ubPWgtwtumZ,R2.3r,1,1,3000,26,850,5.5,,,,,5,225,4,156
R_A7o7ubPWgtwtumZ,R2.3r,3,0,3150, ,600,7.5,0.5,0.5,9,17,5,225,4,156
R_3s0x5QwSplHVe6w,R1.1s,1,1,2700,51,550,12,,,,,5,325,2,156
R_3s0x5QwSplHVe6w,R1.1s,3,0,2950, ,350,18.5,0.1,0.9,18,22,5,325,2,156
R_3s0x5QwSplHVe6w,R1.1r,1,1,2700,51,550,12,,,,,5,325,2,156
R_3s0x5QwSplHVe6w,R1.1r,3,0,2950, ,350,18.5,0.1,0.9,16,24,5,325,2,156
R_3MQnWdMy7XiCsvq,R2.2s,1,1,2700,35,550,10,,,,,6,225,3,42
R_3MQnWdMy7XiCsvq,R2.2s,3,0,2850, ,400,13.5,0.3,0.7,16,20,6,225,3,42
R_3MQnWdMy7XiCsvq,R2.2r,1,1,2700,35,550,10,,,,,6,225,3,42
R_3MQnWdMy7XiCsvq,R2.2r,3,0,2850, ,400,13.5,0.3,0.7,14,22,6,225,3,42
R_AvMo4vm6vRl8ad3,R2.4s,1,1,2700,21,850,4,,,,,5,175,4,156
R_AvMo4vm6vRl8ad3,R2.4s,3,0,2850, ,600,6,0.7,0.3,9,13,5,175,4,156
R_AvMo4vm6vRl8ad3,R2.4r,1,1,2700,21,850,4,,,,,5,175,4,156
R_AvMo4vm6vRl8ad3,R2.4r,3,0,2850, ,600,6,0.7,0.3,7,15,5,175,4,156
R_1EXwzhMdDZ5MJEK,R1.4s,1,1,3000,41,550,11.5,,,,,7,225,4,219
R_1EXwzhMdDZ5MJEK,R1.4s,3,0,3750, ,350,18,0.7,0.3,12,16,7,225,4,219
R_1EXwzhMdDZ5MJEK,R1.4r,1,1,3000,41,550,11.5,,,,,7,225,4,219
R_1EXwzhMdDZ5MJEK,R1.4r,3,0,3750, ,350,18,0.7,0.3,10,18,7,225,4,219
R_3NExajWrWcyGYPl,R1.2s,1,1,2700,41,600,11,,,,,6,275,4,219
R_3NExajWrWcyGYPl,R1.2s,3,0,2950, ,350,19,0.3,0.7,15,19,6,275,4,219
R_3NExajWrWcyGYPl,R1.2r,1,1,2700,41,600,11,,,,,6,275,4,219
R_3NExajWrWcyGYPl,R1.2r,3,0,2950, ,350,19,0.3,0.7,13,21,6,275,4,219
R_12SCVd1TALRuXVe,R2.3s,1,1,3000,41,550,10,,,,,6,225,3,300
R_12SCVd1TALRuXVe,R2.3s,3,0,3150, ,400,13.5,0.5,0.5,19,23,6,225,3,300
R_12SCVd1TALRuXVe,R2.3r,1,1,3000,41,550,10,,,,,6,225,3,300
R_12SCVd1TALRuXVe,R2.3r,3,0,3150, ,400,13.5,0.5,0.5,17,25,6,225,3,300
R_1oItD4WiOW4b5Rp,R2.1s,1,1,1800,21,750,4.5,,,,,5,175,4,96
R_1oItD4WiOW4b5Rp,R2.1s,3,0,1900, ,550,6.5,0.1,0.9,9,13,5,175,4,96
R_1oItD4WiOW4b5Rp,R2.1r,1,1,1800,21,750,4.5,,,,,5,175,4,96
R_1oItD4WiOW4b5Rp,R2.1r,3,0,1900, ,550,6.5,0.1,0.9,7,15,5,175,4,96
R_3FJxIlK46VXHAYW,R1.5s,1,0,1500,32,550,6.5,,,,,5,175,3,42
R_3FJxIlK46VXHAYW,R1.5s,3,1,1650, ,350,10,0.9,0.1,9,13,5,175,3,42
R_3FJxIlK46VXHAYW,R1.5r,1,0,1500,32,550,6.5,,,,,5,175,3,42
R_3FJxIlK46VXHAYW,R1.5r,3,1,1650, ,350,10,0.9,0.1,7,15,5,175,3,42
R_cuVIdnccvpwtF0B,R2.5s,1,1,2100,28,800,5.5,,,,,5,225,4,156
R_cuVIdnccvpwtF0B,R2.5s,3,0,2200, ,550,8,0.9,0.1,12,16,5,225,4,156
R_cuVIdnccvpwtF0B,R2.5r,1,1,2100,28,800,5.5,,,,,5,225,4,156
R_cuVIdnccvpwtF0B,R2.5r,3,0,2200, ,550,8,0.9,0.1,10,18,5,225,4,156
R_10NrKDwBplrnHRS,R1.3s,1,1,2100,37,550,10,,,,,6,225,4,42
R_10NrKDwBplrnHRS,R1.3s,3,0,2400, ,350,15.5,0.5,0.5,12,16,6,225,4,42
R_10NrKDwBplrnHRS,R1.3r,1,1,2100,37,550,10,,,,,6,225,4,42
R_10NrKDwBplrnHRS,R1.3r,3,0,2400, ,350,15.5,0.5,0.5,10,18,6,225,4,42
R_1gBzEFZUFKoDXir,R2.2s,1,1,1800,22,800,4.5,,,,,5,175,4,156
R_1gBzEFZUFKoDXir,R2.2s,3,0,1900, ,550,6.5,0.3,0.7,9,13,5,175,4,156
R_1gBzEFZUFKoDXir,R2.2r,1,1,1800,22,800,4.5,,,,,5,175,4,156
R_1gBzEFZUFKoDXir,R2.2r,3,0,1900, ,550,6.5,0.3,0.7,7,15,5,175,4,156
R_qF2FP3jVM8ugOk1,R2.4s,1,1,1500,32,600,6,,,,,5,175,4,96
R_qF2FP3jVM8ugOk1,R2.4s,3,0,1600, ,400,9,0.7,0.3,14,18,5,175,4,96
R_qF2FP3jVM8ugOk1,R2.4r,1,1,1500,32,600,6,,,,,5,175,4,96
R_qF2FP3jVM8ugOk1,R2.4r,3,0,1600, ,400,9,0.7,0.3,12,20,5,175,4,96
R_xi40iqi7Z4xjial,R1.4s,1,0,2400,50,600,11,,,,,6,275,3,42
R_xi40iqi7Z4xjial,R1.4s,3,1,2750, ,350,19,0.7,0.3,15,19,6,275,3,42
R_xi40iqi7Z4xjial,R1.4r,1,1,2400,50,600,11,,,,,6,275,3,42
R_xi40iqi7Z4xjial,R1.4r,3,0,2750, ,350,19,0.7,0.3,13,21,6,275,3,42
R_1OZTbbicOghPYCf,R1.3s,1,1,1800,46,600,13,,,,,7,275,4,54
R_1OZTbbicOghPYCf,R1.3s,3,0,2150, ,350,22,0.5,0.5,15,19,7,275,4,54
R_1OZTbbicOghPYCf,R1.3r,1,1,1800,46,600,13,,,,,7,275,4,54
R_1OZTbbicOghPYCf,R1.3r,3,0,2150, ,350,22,0.5,0.5,13,21,7,275,4,54
R_2D1UVsG82K77xF3,R2.5s,1,1,1800,28,800,5.5,,,,,5,225,4,156
R_2D1UVsG82K77xF3,R2.5s,3,0,1900, ,550,8,0.9,0.1,12,16,5,225,4,156
R_2D1UVsG82K77xF3,R2.5r,1,1,1800,28,800,5.5,,,,,5,225,4,156
R_2D1UVsG82K77xF3,R2.5r,3,0,1900, ,550,8,0.9,0.1,10,18,5,225,4,156
R_83digBgRRhSEz97,R2.3s,1,1,2100,41,550,11.5,,,,,7,225,3,42
R_83digBgRRhSEz97,R2.3s,3,0,2200, ,400,16,0.5,0.5,19,23,7,225,3,42
R_83digBgRRhSEz97,R2.3r,1,1,2100,41,550,11.5,,,,,7,225,3,42
R_83digBgRRhSEz97,R2.3r,3,0,2200, ,400,16,0.5,0.5,17,25,7,225,3,42
R_2uKZdUNzTF8oVhf,R1.1s,1,1,2400,46,600,9,,,,,5,275,4,156
R_2uKZdUNzTF8oVhf,R1.1s,3,0,2650, ,350,15.5,0.1,0.9,15,19,5,275,4,156
R_2uKZdUNzTF8oVhf,R1.1r,1,1,2400,46,600,9,,,,,5,275,4,156
R_2uKZdUNzTF8oVhf,R1.1r,3,0,2650, ,350,15.5,0.1,0.9,13,21,5,275,4,156
R_30cwH7CY3Gy2TCn,R2.1s,1,1,1800,28,800,7,,,,,6,225,4,156
R_30cwH7CY3Gy2TCn,R2.1s,3,0,1900, ,550,10,0.1,0.9,12,16,6,225,4,156
R_30cwH7CY3Gy2TCn,R2.1r,1,1,1800,28,800,7,,,,,6,225,4,156
R_30cwH7CY3Gy2TCn,R2.1r,3,0,1900, ,550,10,0.1,0.9,10,18,6,225,4,156
R_1fa5YIeMkT5kQ8n,R2.3s,1,1,2700,24,800,7,,,,,6,225,4,156
R_1fa5YIeMkT5kQ8n,R2.3s,3,0,2850, ,550,10,0.5,0.5,10,14,6,225,4,156
R_1fa5YIeMkT5kQ8n,R2.3r,1,1,2700,24,800,7,,,,,6,225,4,156
R_1fa5YIeMkT5kQ8n,R2.3r,3,0,2850, ,550,10,0.5,0.5,8,16,6,225,4,156
R_rp9e9qEvloo8Ewx,R1.2s,1,1,3000,50,550,12,,,,,6,275,3,300
R_rp9e9qEvloo8Ewx,R1.2s,3,0,3300, ,350,19,0.3,0.7,15,19,6,275,3,300
R_rp9e9qEvloo8Ewx,R1.2r,1,1,3000,50,550,12,,,,,6,275,3,300
R_rp9e9qEvloo8Ewx,R1.2r,3,0,3300, ,350,19,0.3,0.7,13,21,6,275,3,300
R_2afZRtRnzmDq4FK,R2.1s,1,0,1800,63,600,15,,,,,6,375,3,54
R_2afZRtRnzmDq4FK,R2.1s,3,1,1900, ,400,22.5,0.1,0.9,30,34,6,375,3,54
R_2afZRtRnzmDq4FK,R2.1r,1,0,1800,63,600,15,,,,,6,375,3,54
R_2afZRtRnzmDq4FK,R2.1r,3,1,1900, ,400,22.5,0.1,0.9,28,36,6,375,3,54
R_1gIqkAzPxpKVMc5,R2.5s,1,1,3000,19,800,4.5,,,,,5,175,4,96
R_1gIqkAzPxpKVMc5,R2.5s,3,0,3150, ,550,6.5,0.9,0.1,8,12,5,175,4,96
R_1gIqkAzPxpKVMc5,R2.5r,1,1,3000,19,800,4.5,,,,,5,175,4,96
R_1gIqkAzPxpKVMc5,R2.5r,3,0,3150, ,550,6.5,0.9,0.1,6,14,5,175,4,96
R_2xIUP4epQozkVcS,R1.5s,1,0,3000,61,600,17,,,,,6,425,2,54
R_2xIUP4epQozkVcS,R1.5s,3,1,3300, ,350,29,0.9,0.1,24,28,6,425,2,54
R_2xIUP4epQozkVcS,R1.5r,1,0,3000,61,600,17,,,,,6,425,2,54
R_2xIUP4epQozkVcS,R1.5r,3,1,3300, ,350,29,0.9,0.1,22,30,6,425,2,54
R_2TZ9H7ep83B3uCL,R2.2s,1,1,3000,24,800,7,,,,,6,225,4,219
R_2TZ9H7ep83B3uCL,R2.2s,3,0,3150, ,550,10,0.3,0.7,10,14,6,225,4,219
R_2TZ9H7ep83B3uCL,R2.2r,1,1,3000,24,800,7,,,,,6,225,4,219
R_2TZ9H7ep83B3uCL,R2.2r,3,0,3150, ,550,10,0.3,0.7,8,16,6,225,4,219
R_27vV0tv5wzVMRPn,R2.4s,1,1,3000,37,550,10,,,,,6,225,4,300
R_27vV0tv5wzVMRPn,R2.4s,3,0,3150, ,400,13.5,0.7,0.3,17,21,6,225,4,300
R_27vV0tv5wzVMRPn,R2.4r,1,1,3000,37,550,10,,,,,6,225,4,300
R_27vV0tv5wzVMRPn,R2.4r,3,0,3150, ,400,13.5,0.7,0.3,15,23,6,225,4,300
R_AyC9oVUEmvyBhUl,R1.4s,1,0,3000,54,600,15,,,,,6,375,4,96
R_AyC9oVUEmvyBhUl,R1.4s,3,1,3300, ,350,25.5,0.7,0.3,21,25,6,375,4,96
R_AyC9oVUEmvyBhUl,R1.4r,1,0,3000,54,600,15,,,,,6,375,4,96
R_AyC9oVUEmvyBhUl,R1.4r,3,1,3300, ,350,25.5,0.7,0.3,19,27,6,375,4,96
R_3nT1jxdhqaixu8J,R2.4s,1,1,3000,24,800,5.5,,,,,5,225,4,156
R_3nT1jxdhqaixu8J,R2.4s,3,0,3150, ,550,8,0.7,0.3,10,14,5,225,4,156
R_3nT1jxdhqaixu8J,R2.4r,1,1,3000,24,800,5.5,,,,,5,225,4,156
R_3nT1jxdhqaixu8J,R2.4r,3,0,3150, ,550,8,0.7,0.3,8,16,5,225,4,156
R_3Jx8BoIDxBFIaKb,R1.3s,1,0,3000,36,650,10,,,,,6,275,2,219
R_3Jx8BoIDxBFIaKb,R1.3s,3,1,3300, ,400,16.5,0.5,0.5,15,19,6,275,2,219
R_3Jx8BoIDxBFIaKb,R1.3r,1,0,3000,36,650,10,,,,,6,275,2,219
R_3Jx8BoIDxBFIaKb,R1.3r,3,1,3300, ,400,16.5,0.5,0.5,13,21,6,275,2,219
R_3illdI3nN28nFCr,R2.3s,1,1,3000,24,800,7,,,,,6,225,4,219
R_3illdI3nN28nFCr,R2.3s,3,0,3150, ,550,10,0.5,0.5,10,14,6,225,4,219
R_3illdI3nN28nFCr,R2.3r,1,1,3000,24,800,7,,,,,6,225,4,219
R_3illdI3nN28nFCr,R2.3r,3,0,3150, ,550,10,0.5,0.5,8,16,6,225,4,219
R_DAUbQRRdnfgweop,R1.2s,1,1,3000,59,650,15.5,,,,,6,425,3,54
R_DAUbQRRdnfgweop,R1.2s,3,0,3600, ,400,25.5,0.3,0.7,24,28,6,425,3,54
R_DAUbQRRdnfgweop,R1.2r,1,0,3000,59,650,15.5,,,,,6,425,3,54
R_DAUbQRRdnfgweop,R1.2r,3,1,3600, ,400,25.5,0.3,0.7,22,30,6,425,3,54
R_2zdum3RtCeq0hom,R2.1s,1,1,3000,24,800,7,,,,,6,225,4,156
R_2zdum3RtCeq0hom,R2.1s,3,0,3150, ,550,10,0.1,0.9,10,14,6,225,4,156
R_2zdum3RtCeq0hom,R2.1r,1,1,3000,24,800,7,,,,,6,225,4,156
R_2zdum3RtCeq0hom,R2.1r,3,0,3150, ,550,10,0.1,0.9,8,16,6,225,4,156
R_1FhYGWfmuq7L40V,R2.2s,1,1,3000,24,800,5.5,,,,,5,225,4,156
R_1FhYGWfmuq7L40V,R2.2s,3,0,3150, ,550,8,0.3,0.7,10,14,5,225,4,156
R_1FhYGWfmuq7L40V,R2.2r,1,1,3000,24,800,5.5,,,,,5,225,4,156
R_1FhYGWfmuq7L40V,R2.2r,3,0,3150, ,550,8,0.3,0.7,8,16,5,225,4,156
R_2fBTdqBEABELP7A,R1.1s,1,1,3000,38,600,9,,,,,6,225,4,300
R_2fBTdqBEABELP7A,R1.1s,3,0,3300, ,350,15.5,0.1,0.9,12,16,6,225,4,300
R_2fBTdqBEABELP7A,R1.1r,1,1,3000,38,600,9,,,,,6,225,4,300
R_2fBTdqBEABELP7A,R1.1r,3,0,3300, ,350,15.5,0.1,0.9,10,18,6,225,4,300
R_2EFYvwlOYJ8L6vF,R1.5s,1,1,3000,47,600,13,,,,,6,325,2,54
R_2EFYvwlOYJ8L6vF,R1.5s,3,0,3300, ,350,22.5,0.9,0.1,18,22,6,325,2,54
R_2EFYvwlOYJ8L6vF,R1.5r,1,1,3000,47,600,13,,,,,6,325,2,54
R_2EFYvwlOYJ8L6vF,R1.5r,3,0,3300, ,350,22.5,0.9,0.1,16,24,6,325,2,54
R_Dc37vekQq7jb1x7,R2.5s,1,1,3000,24,800,7,,,,,6,225,4,219
R_Dc37vekQq7jb1x7,R2.5s,3,0,3150, ,550,10,0.9,0.1,10,14,6,225,4,219
R_Dc37vekQq7jb1x7,R2.5r,1,1,3000,24,800,7,,,,,6,225,4,219
R_Dc37vekQq7jb1x7,R2.5r,3,0,3150, ,550,10,0.9,0.1,8,16,6,225,4,219
R_3kHdWpvv3D86HYd,R2.2s,1,1,3000,19,800,5.5,,,,,6,175,4,156
R_3kHdWpvv3D86HYd,R2.2s,3,0,3150, ,550,7.5,0.3,0.7,8,12,6,175,4,156
R_3kHdWpvv3D86HYd,R2.2r,1,1,3000,19,800,5.5,,,,,6,175,4,156
R_3kHdWpvv3D86HYd,R2.2r,3,0,3150, ,550,7.5,0.3,0.7,6,14,6,175,4,156
R_2do5lk5ZhkxggwO,R2.4s,1,1,3000,19,800,5.5,,,,,6,175,4,219
R_2do5lk5ZhkxggwO,R2.4s,3,0,3150, ,550,7.5,0.7,0.3,8,12,6,175,4,219
R_2do5lk5ZhkxggwO,R2.4r,1,1,3000,19,800,5.5,,,,,6,175,4,219
R_2do5lk5ZhkxggwO,R2.4r,3,0,3150, ,550,7.5,0.7,0.3,6,14,6,175,4,219
R_PIkR5d5krJ9zL0J,R1.4s,1,1,3000,45,650,12,,,,,6,325,3,96
R_PIkR5d5krJ9zL0J,R1.4s,3,0,3300, ,400,19.5,0.7,0.3,18,22,6,325,3,96
R_PIkR5d5krJ9zL0J,R1.4r,1,1,3000,45,650,12,,,,,6,325,3,96
R_PIkR5d5krJ9zL0J,R1.4r,3,0,3300, ,400,19.5,0.7,0.3,16,24,6,325,3,96
R_3oRSBqB1FLaZTYL,R2.3s,1,1,3000,25,800,7,,,,,6,225,4,156
R_3oRSBqB1FLaZTYL,R2.3s,3,0,3150, ,550,10,0.5,0.5,11,15,6,225,4,156
R_3oRSBqB1FLaZTYL,R2.3r,1,1,3000,25,800,7,,,,,6,225,4,156
R_3oRSBqB1FLaZTYL,R2.3r,3,0,3150, ,550,10,0.5,0.5,9,17,6,225,4,156
R_3j1cHAmIQJcHm9D,R1.5s,1,1,3000,45,650,14,,,,,7,325,4,156
R_3j1cHAmIQJcHm9D,R1.5s,3,0,3600, ,400,23,0.9,0.1,18,22,7,325,4,156
R_3j1cHAmIQJcHm9D,R1.5r,1,1,3000,45,650,14,,,,,7,325,4,156
R_3j1cHAmIQJcHm9D,R1.5r,3,0,3600, ,400,23,0.9,0.1,16,24,7,325,4,156
R_TmWsKkfBc1pCTRf,R2.1s,1,1,3000,25,800,7,,,,,6,225,4,219
